code,name,orgId,title,url,size_kb
600933,爱柯迪,gfbj0834393,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261228.PDF,1538
603215,比依股份,nssc1000801,浙江比依电器股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261213.PDF,1543
600150,中国船舶,gssh0600150,中国船舶工业股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225261150.PDF,2101
603978,深圳新星,9900031492,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260826.PDF,1784
603711,香飘飘,9900031497,香飘飘2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260814.PDF,2561
605008,长鸿高科,9900039739,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260746.PDF,1503
688007,光峰科技,9900038970,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260647.PDF,1579
603358,华达科技,9900029980,华达汽车科技股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260644.PDF,1305
002031,巨轮智能,gssz0002031,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260516.PDF,2264
688212,澳华内镜,9900047918,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260480.PDF,1880
600587,新华医疗,gssh0600587,新华医疗2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260404.PDF,1591
600208,衢州发展,gssh0600208,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260353.PDF,1620
603707,健友股份,9900022971,健友股份2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260266.PDF,1710
688625,呈和科技,gfbj0838731,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260242.PDF,1684
605303,园林股份,9900031489,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260194.PDF,1287
600212,绿能慧充,gssh0600212,绿能慧充2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225260025.PDF,2864
